,CASH
QUARTER,DIVIDENDS
END,PER SHR
31/12/2022,17.39
30/09/2022,16.66
30/06/2022,16.63
31/03/2022,16.25
31/12/2021,15.78
30/09/2021,15.36
30/06/2021,14.58
31/03/2021,14.68
31/12/2020,14.64
30/09/2020,13.97
30/06/2020,14.35
31/03/2020,15.32
31/12/2019,15.21
30/09/2019,14.8
28/06/2019,14.24
29/03/2019,13.98
31/12/2018,14.19
28/09/2018,13.66
29/06/2018,13.1
29/03/2018,12.79
29/12/2017,12.78
30/09/2017,12.31
30/06/2017,12.12
31/03/2017,11.72
31/12/2016,12.02
30/09/2016,11.36
30/06/2016,11.28
31/03/2016,11.04
31/12/2015,11.35
30/09/2015,10.79
30/06/2015,10.69
31/03/2015,10.55
31/12/2014,10.47
30/09/2014,10.02
30/06/2014,9.76
31/03/2014,9.19
31/12/2013,9.52
30/09/2013,8.91
30/06/2013,8.61
31/03/2013,7.95
31/12/2012,8.93
30/09/2012,7.77
30/06/2012,7.45
31/03/2012,7.09
31/12/2011,7.28
30/09/2011,6.5
30/06/2011,6.49
31/03/2011,6.16
31/12/2010,6.03
30/09/2010,5.66
30/06/2010,5.58
31/03/2010,5.46
31/12/2009,5.66
30/09/2009,5.35
30/06/2009,5.44
31/03/2009,5.96
31/12/2008,7.15
30/09/2008,7.04
30/06/2008,7.1
31/03/2008,7.09
31/12/2007,7.62
30/09/2007,6.9
30/06/2007,6.69
31/03/2007,6.52
31/12/2006,6.87
30/09/2006,6.09
30/06/2006,6.02
31/03/2006,5.91
31/12/2005,6.08
30/09/2005,5.43
30/06/2005,5.36
31/03/2005,5.34
31/12/2004,5.33
30/09/2004,4.88
30/06/2004,4.66
31/03/2004,4.56
31/12/2003,5.06
30/09/2003,4.32
30/06/2003,4.09
31/03/2003,3.92
31/12/2002,4.26
30/09/2002,3.9
30/06/2002,4.15
31/03/2002,3.77
31/12/2001,3.98
30/09/2001,4.14
30/06/2001,3.84
31/03/2001,3.78
31/12/2000,3.98
30/09/2000,4.09
30/06/2000,4.12
31/03/2000,4.08
31/12/1999,4.05
30/09/1999,4.45
30/06/1999,4.18
31/03/1999,4.01
31/12/1998,4
30/09/1998,4.26
30/06/1998,4.18
31/03/1998,3.76
31/12/1997,3.95
30/09/1997,4.06
30/06/1997,3.87
31/03/1997,3.61
31/12/1996,3.79
30/09/1996,3.89
30/06/1996,3.77
31/03/1996,3.45
31/12/1995,3.55
30/09/1995,3.5
30/06/1995,3.6
31/03/1995,3.14
31/12/1994,3.34
30/09/1994,3.29
30/06/1994,3.41
31/03/1994,3.14
31/12/1993,3.09
30/09/1993,3.2
30/06/1993,3.28
31/03/1993,3.01
31/12/1992,3.03
30/09/1992,3.2
30/06/1992,3.24
31/03/1992,2.91
31/12/1991,3.04
30/09/1991,3.13
30/06/1991,3.24
31/03/1991,2.79
31/12/1990,3.12
30/09/1990,3
30/06/1990,3.21
31/03/1990,2.77
31/12/1989,2.86
30/09/1989,2.83
30/06/1989,2.86
31/03/1989,2.5
31/12/1988,2.54
30/09/1988,2.46
30/06/1988,2.5
31/03/1988,2.24
